idx,product_id,quantity,wholesale_cost,sale_price,supplier_id
1,GL6NZYQCJO9J,6985,390.12,554.36,TKLCRQAQ
2,AV0HVA6Y705V,3751,455.63,611.46,SLVUJJVM
3,2BTACVJEM9CB,2925,129.16,242.05,EIAPSBUM
4,QNBY0A3WYARJ,1258,118.45,199.00,NIIFSJPI
5,KO7AF4N3V711,7558,396.75,471.34,PFUZXUBP
6,EFCRUMI1GRC1,3062,392.76,562.04,PFUZXUBP
7,8OPDSCNHACYS,7081,469.81,744.65,TKOBOHXZ
8,KGNLUU8Z4KRH,3148,390.12,728.74,QOODUKSF
9,98KM4OI2P3ZJ,2161,133.37,243.53,RRHKWHUG
10,5OVYRHBOQ5BE,6329,411.49,662.50,IRXVIIXD
11,LZUITP0L7ACH,2945,94.49,145.23,ZLYACVMT
12,IBWY8J2J5I2J,2968,129.16,182.63,SXEDLYPA
13,UL1TB74D9N2E,1311,138.51,243.36,ZLYACVMT
14,39KN0CM5NMP4,4414,345.02,526.16,UPJEDILP
15,C3UMEZQ3AB8I,7018,378.30,606.79,HRCTNANX
16,KHVP2PFTN0GO,4905,394.09,715.27,JIBXLYVJ
17,SWZ9H3UI1LKS,6990,404.76,513.64,RRHKWHUG
18,8J2HJ9G62YB8,4424,335.03,369.54,VYGATPNP
19,74QV1FX675E2,2438,147.24,243.53,NJVSHSAQ
20,FRDKRMNQFYVF,2605,145.48,197.56,VSBPGANE
21,JKBA0MPR5YHS,3038,447.22,583.62,CPKTLQGA
22,I7KCJDPT891E,575,50.04,83.67,ZPVDSNTN
23,BK8GMGUTEOMH,7397,415.55,581.77,JFRFZLXG
24,38MSJE44PLLD,2940,107.35,159.74,RRHKWHUG
25,9EUJA7VOL4QF,4022,375.70,529.74,UIBJMQJU
26,FXN20M5Q16KL,7142,361.50,684.68,GAHBTDEC
27,5TVOZ28BF0ZT,5399,436.09,619.25,SXEDLYPA
28,M40MEO4T55I8,800,31.86,47.82,UXQLDNBC
29,HIWEK0WI9QCC,915,34.73,45.95,PFUZXUBP
30,FKCFX5YDO2FX,5210,425.09,512.66,ZHSGPGCE
31,ULJYGLQHLAIB,2188,130.84,156.35,RRHKWHUG
32,N8283WMZDB97,6699,448.62,615.06,TKOBOHXZ
33,0Y5RBD0ML2TA,2326,112.85,148.74,HDPBFCUI
34,WJHMXUMDZTVT,798,39.24,46.42,NPZGUNBG
35,60Y8YT968FXQ,4511,436.09,633.20,YJFOCKUP
36,O2HJZIEYFPFV,294,9.09,12.37,PFUZXUBP
37,N91SD2LSGSAJ,7170,422.35,520.34,PIOYEFFR
38,VQJ9KPRRD6VM,3850,377.00,568.14,CMLLTKBT
39,1GJ2TM84KWQ0,5828,433.33,614.03,ESTUSGVQ
40,CYJRAR79CW31,1869,123.34,216.71,UIBJMQJU
41,FSEZXZXLV2WC,5154,378.30,570.85,PUAAQYKI
42,ENYKTKAZQ3S6,507,30.00,38.04,VRPUFLOH
43,RZ6R4G1S15H2,760,43.97,56.24,NPZGUNBG
44,CEGBXT8HGAFM,4741,434.71,538.17,ESTUSGVQ
45,3P8IPIGSBB2Y,5292,459.87,560.58,VSBPGANE
46,KGP1T4XNYRJ1,4830,373.10,464.14,IRXVIIXD
47,80WG4XFOPT11,1708,138.51,164.27,TKLCRQAQ
48,ZTDI38BO0KLT,5483,390.12,735.77,YJFOCKUP
49,AP5ES2U1K3KS,2932,144.60,274.45,JIBXLYVJ
50,DTDWN4ELESUG,3191,351.32,459.18,NIIFSJPI
51,KVMTKMUWEKO7,588,36.71,62.11,VYGATPNP
52,GRPTQP8GSZUM,5024,440.25,607.54,VSBPGANE
53,024WZHQ1W75D,2662,127.48,146.47,HRCTNANX
54,ZZ5ZL5Q0ZQAK,111,6.46,8.64,GAHBTDEC
55,MXVXV3FBK6VV,6260,379.61,635.09,ZHSGPGCE
56,QJC4K8QLY8F4,3179,419.63,772.96,IRXVIIXD
57,JSC182Z26O4F,128,2.89,4.20,QOODUKSF
58,63BTKH8DZNRW,5785,412.84,704.31,HDPBFCUI
59,TN32DL57QBTQ,1898,116.84,167.31,PUAAQYKI
60,K9C7UTLJTRD6,820,29.54,49.42,VRPUFLOH
61,JF1NLDO61BND,3048,370.51,567.25,TKOBOHXZ
62,96TJ0IB8VD8D,7177,414.20,505.74,VRPUFLOH
63,C0EFG4LP1Z7M,1404,129.16,207.95,TKLCRQAQ
64,K5DTN2128SQU,1915,102.74,138.70,IRXVIIXD
65,VDK4QJGPUZM0,2218,142.85,249.27,MGOWPCPA
66,GC7KFHHTZ85E,174,15.75,24.32,SLVUJJVM
67,VV7V3N14WFW5,4983,384.85,499.15,COURESFM
68,HI6T1EVHV089,5600,394.09,477.64,GYCRCIZD
69,4MSKTNKKZJBT,2323,120.07,132.20,JFRFZLXG
70,NHF8KFB2QX6V,1267,119.26,168.51,JPNKOVEY
71,IYZJUG8HJJVX,3082,396.75,498.71,UXQLDNBC
72,ZNT9U8WFCICY,2392,123.34,214.86,UQAIHIOI
73,XE1LF201G1L7,1894,103.50,119.96,RRHKWHUG
74,3X249O2O8D44,3477,414.20,770.83,TKOBOHXZ
75,JRN7YECOKF21,2841,125.82,216.03,RRHKWHUG
76,6JP30L185YGG,4419,416.91,527.81,VSBPGANE
77,T09F166SKA9N,6127,412.84,693.16,PIOYEFFR
78,LWE6SIQ4JN8H,6696,451.42,788.63,GYCRCIZD
79,65JCT9O70AYU,4418,430.58,561.91,TNGXLUXB
80,Q53XUPZX0E3N,2787,140.24,245.70,UIBJMQJU
81,KTAA6F97NKF3,1457,158.93,261.76,UMIGMZRV
82,M0N1VCEIWG9T,6073,364.07,577.78,GAHBTDEC
83,4IDFIICT2776,1248,114.44,141.79,HRCTNANX
84,88J9HQTJCCT9,3617,398.08,585.18,NJVSHSAQ
85,ENLHYEY57F2G,3011,426.46,574.02,GYCRCIZD
86,QDJ72FEFYHH6,3806,400.75,675.26,TNGXLUXB
87,085T1SVSNTE6,6256,378.30,624.95,CPKTLQGA
88,3KMVNLHVYJSR,7615,415.55,472.48,CPKTLQGA
89,TH21UP8VILGY,1531,119.26,153.01,SXEDLYPA
90,SJVJDFBC8CLU,1171,134.22,241.33,RRHKWHUG
91,GYQ8J89VS0ZY,3333,371.80,453.97,NPZGUNBG
92,URSYNE2W0FJW,2345,135.08,247.33,QOODUKSF
93,ZGPLB82NFQH9,7157,410.14,548.36,PUAAQYKI
94,JJ5EL4S3SKPH,4555,423.72,547.02,ZHSGPGCE
95,3FGS04DIQFE8,5949,422.35,503.02,SXEDLYPA
96,TRORJMYYJ1B4,7105,440.25,515.53,JPNKOVEY
97,TJZBBMYKMFPK,1287,120.89,206.48,VRPUFLOH
98,07KLRX7VIAU1,6235,451.42,738.52,JFRFZLXG
99,C5RSGMGBGNH6,6529,440.25,661.26,TNGXLUXB
100,L75LRSMOQKN7,6886,374.40,603.91,DUVESCUP
101,6163I81ISBAO,1845,109.69,199.09,YJFOCKUP
102,MECWW5BGA4JU,4613,377.00,469.37,DLDNHXON
103,DSU2U91J1SGD,3368,384.85,434.88,MGOWPCPA
104,91JN66WRXBD7,628,24.69,37.41,GYCRCIZD
105,MIX4QV31ODVT,3958,386.16,661.11,GYCRCIZD
106,4HRS2UE21WAF,4010,423.72,619.05,TKOBOHXZ
107,5KFEU639LNQ4,1053,34.25,52.92,VSBPGANE
108,LAY3YMHMCUF4,3642,451.42,718.66,UIBJMQJU
109,V11T2SKSH5VX,6901,426.46,693.42,NJVSHSAQ
110,FBU6HR55FAG5,7534,341.26,558.30,YXEYYAUU
111,L4477U2GUQQ5,2069,109.69,187.46,TKLCRQAQ
112,JWA4MJPO6J5F,3651,408.79,711.29,MGOWPCPA
113,SORMHPE64ADI,798,30.92,40.57,NJVSHSAQ
114,VQDHZ6ZHE4BY,425,26.85,50.40,QOODUKSF
115,H52Y4S4SJGI5,6187,345.02,640.01,NIIFSJPI
116,8PRP97KDRL6E,5966,447.22,771.90,VSBPGANE
117,M90163KTP5EA,5731,383.54,489.40,TKOBOHXZ
