product_id,quantity,wholesale_cost,sale_price,supplier_id
GL6NZYQCJO9J,6985,390.12,554.36,TKLCRQAQ
AV0HVA6Y705V,3751,455.63,611.46,SLVUJJVM
2BTACVJEM9CB,2925,129.16,242.05,EIAPSBUM
QNBY0A3WYARJ,1258,118.45,199.0,NIIFSJPI
KO7AF4N3V711,7558,396.75,471.34,PFUZXUBP
EFCRUMI1GRC1,3062,392.76,562.04,PFUZXUBP
8OPDSCNHACYS,7081,469.81,744.65,TKOBOHXZ
KGNLUU8Z4KRH,3148,390.12,728.74,QOODUKSF
98KM4OI2P3ZJ,2161,133.37,243.53,RRHKWHUG
5OVYRHBOQ5BE,6329,411.49,662.5,IRXVIIXD
LZUITP0L7ACH,2945,94.49,145.23,ZLYACVMT
IBWY8J2J5I2J,2968,129.16,182.63,SXEDLYPA
UL1TB74D9N2E,1311,138.51,243.36,ZLYACVMT
39KN0CM5NMP4,4414,345.02,526.16,UPJEDILP
C3UMEZQ3AB8I,7018,378.3,606.79,HRCTNANX
KHVP2PFTN0GO,4905,394.09,715.27,JIBXLYVJ
SWZ9H3UI1LKS,6990,404.76,513.64,RRHKWHUG
8J2HJ9G62YB8,4424,335.03,369.54,VYGATPNP
74QV1FX675E2,2438,147.24,243.53,NJVSHSAQ
FRDKRMNQFYVF,2605,145.48,197.56,VSBPGANE
JKBA0MPR5YHS,3038,447.22,583.62,CPKTLQGA
I7KCJDPT891E,575,50.04,83.67,ZPVDSNTN
BK8GMGUTEOMH,7397,415.55,581.77,JFRFZLXG
38MSJE44PLLD,2940,107.35,159.74,RRHKWHUG
9EUJA7VOL4QF,4022,375.7,529.74,UIBJMQJU
FXN20M5Q16KL,7142,361.5,684.68,GAHBTDEC
5TVOZ28BF0ZT,5399,436.09,619.25,SXEDLYPA
M40MEO4T55I8,800,31.86,47.82,UXQLDNBC
HIWEK0WI9QCC,915,34.73,45.95,PFUZXUBP
FKCFX5YDO2FX,5210,425.09,512.66,ZHSGPGCE
ULJYGLQHLAIB,2188,130.84,156.35,RRHKWHUG
N8283WMZDB97,6699,448.62,615.06,TKOBOHXZ
0Y5RBD0ML2TA,2326,112.85,148.74,HDPBFCUI
WJHMXUMDZTVT,798,39.24,46.42,NPZGUNBG
60Y8YT968FXQ,4511,436.09,633.2,YJFOCKUP
O2HJZIEYFPFV,294,9.09,12.37,PFUZXUBP
N91SD2LSGSAJ,7170,422.35,520.34,PIOYEFFR
VQJ9KPRRD6VM,3850,377.0,568.14,CMLLTKBT
1GJ2TM84KWQ0,5828,433.33,614.03,ESTUSGVQ
CYJRAR79CW31,1869,123.34,216.71,UIBJMQJU
FSEZXZXLV2WC,5154,378.3,570.85,PUAAQYKI
ENYKTKAZQ3S6,507,30.0,38.04,VRPUFLOH
RZ6R4G1S15H2,760,43.97,56.24,NPZGUNBG
CEGBXT8HGAFM,4741,434.71,538.17,ESTUSGVQ
3P8IPIGSBB2Y,5292,459.87,560.58,VSBPGANE
KGP1T4XNYRJ1,4830,373.1,464.14,IRXVIIXD
80WG4XFOPT11,1708,138.51,164.27,TKLCRQAQ
ZTDI38BO0KLT,5483,390.12,735.77,YJFOCKUP
AP5ES2U1K3KS,2932,144.6,274.45,JIBXLYVJ
DTDWN4ELESUG,3191,351.32,459.18,NIIFSJPI
KVMTKMUWEKO7,588,36.71,62.11,VYGATPNP
GRPTQP8GSZUM,5024,440.25,607.54,VSBPGANE
024WZHQ1W75D,2662,127.48,146.47,HRCTNANX
ZZ5ZL5Q0ZQAK,111,6.46,8.64,GAHBTDEC
MXVXV3FBK6VV,6260,379.61,635.09,ZHSGPGCE
QJC4K8QLY8F4,3179,419.63,772.96,IRXVIIXD
JSC182Z26O4F,128,2.89,4.2,QOODUKSF
63BTKH8DZNRW,5785,412.84,704.31,HDPBFCUI
TN32DL57QBTQ,1898,116.84,167.31,PUAAQYKI
K9C7UTLJTRD6,820,29.54,49.42,VRPUFLOH
